product_id,categoria,cutoff_date_test_from,n_train_instock,n_test_total,MAE,MAPE_%,WMAPE_%,WMAPE_instock_%
PROD_7f03035ee5,RAM,2025-10-28,39,10,24.3333,34.4873,18.2136,18.2136
PROD_83df9dffd7,CPU_INTEL,2025-10-28,39,10,16.1564,25.9036,19.0749,19.0749
PROD_d354fa6382,SSD,2025-10-28,39,10,24.4692,28.8358,21.5209,21.5209
PROD_55aef15378,MB_AMD,2025-10-28,39,10,15.1308,23.44,22.5496,22.5496
PROD_4a13c548a6,CPU_AMD,2025-10-28,39,10,24.3769,27.6395,23.644,23.644
PROD_8c31ee7d9a,MB_AMD,2025-10-28,39,10,20.1026,30.5611,25.1282,25.1282
PROD_850729fbbf,CPU_AMD,2025-10-28,39,10,21.0154,26.6515,26.4677,26.4677
